导出时间: 2026-04-14 20:36:30

==== store_wave_load_resolved ====
shop_code	wave_belongs	wave1_load	wave2_load	wave3_load	wave4_load	total_resolved_load	first_wave_time	second_wave_time	arrival_time_w3	arrival_time_w4	updated_at
407146	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393206	5	10	2	0	9	0	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394107	3	23	3	0	7	0	3	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394112	6	30	3	0	16	0	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
391074	5	19	3	0	8	1	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
396177	3	21	1	1	9	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394258	5	18	3	0	22	0	3	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
395041	5	9	3	0	7	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
396053	2	5	1	0	10	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393688	6	25	5	0	20	1	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
392184	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394526	3	37	2	0	6	2	4	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394259	4	6	2	0	7	0	4	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394079	4	18	1	0	6	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
395393	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
478582	4	8	3	0	13	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
409372	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
393401	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
391028	4	27	2	1	7	2	3	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
391710	1	7	0	0	3	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:24	2026-04-13 14:34:24
392498	9	41	4	0	55	0	9	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:24	2026-04-13 14:34:24
478571	3	2	2	0	7	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:24	2026-04-13 14:34:24
393280	4	15	3	0	13	0	3	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:24	2026-04-13 14:34:24
393220	3	2	1	0	8	0	1	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:24	2026-04-13 14:34:24
